0.11,0.04
1.47,-0.16
1.11,0.05
1.93,0.06
1.29,0.10
-1.24,0.09
-2.32,0.01
-1.46,0.18
-1.18,0.10
-1.88,0.01
-1.55,-0.26
-1.76,-0.15
-1.66,0.02
-0.43,-0.12
-1.35,-0.12
1.26,-0.08
-0.11,-0.01
0.83,0.17
1.64,0.02
1.72,0.13
0.38,0.04
1.51,-0.22
0.92,0.02
2.08,0.05
1.27,0.13
-1.21,0.09
-2.31,-0.01
-1.56,0.16
-1.11,0.15
-1.79,-0.02
-1.25,-0.25
-1.79,-0.16
-1.68,0.00
-0.48,-0.10
-1.39,-0.11
1.34,-0.07
-0.14,0.00
1.01,0.12
1.60,0.01
1.78,0.16
0.17,0.04
1.23,-0.22
0.16,-0.00
1.93,0.06
1.27,0.13
-1.19,0.08
-2.29,-0.01
-1.23,0.13
-1.32,0.12
-2.11,-0.03
-1.51,-0.24
-1.39,-0.14
-1.39,0.02
-0.41,-0.14
-1.30,-0.09
1.29,-0.08
-0.00,-0.02
0.69,0.16
1.73,0.04
1.45,0.14
0.19,0.02
1.32,-0.20
0.27,-0.00
2.10,0.01
1.27,0.13
-1.24,0.10
-2.16,-0.04
-1.24,0.14
-1.31,0.13
-2.04,-0.03
-1.42,-0.23
-1.42,-0.14
-1.36,-0.00
-0.47,-0.14
-1.32,-0.11
1.30,-0.08
-0.01,-0.03
0.74,0.13
1.93,0.05
1.45,0.14
0.14,0.02
1.23,-0.19
0.23,0.02
2.07,-0.02
1.26,0.12
-1.21,0.10
-2.18,-0.05
-1.02,0.14
-1.56,0.13
-2.27,-0.04
-1.68,-0.23
-1.04,-0.14
-1.27,-0.01
-0.36,-0.12
-1.33,-0.10
1.31,-0.09
0.18,-0.03
0.60,0.14
1.77,0.05
1.43,0.12
0.12,0.03
1.12,-0.17
0.13,0.01
2.12,-0.01
1.27,0.11
-1.20,0.11
-2.14,-0.04
-1.02,0.13
-1.59,0.11
-2.30,-0.08
-1.57,-0.21
-1.01,-0.14
-1.32,-0.02
-0.39,-0.12
-1.30,-0.11
1.30,-0.09
0.09,-0.03
0.62,0.11
1.85,0.04
1.43,0.12
0.05,0.03
1.24,-0.16
0.92,0.02
2.18,-0.04
1.28,0.12
-1.25,0.12
-2.09,-0.06
-1.12,0.11
-1.59,0.11
-2.36,-0.11
-1.67,-0.19
-0.84,-0.13
-1.34,-0.02
-0.39,-0.09
-1.31,-0.11
1.27,-0.08
0.49,-0.02
0.51,0.11
1.61,0.03
1.55,0.10
0.08,0.03
1.35,-0.12
0.82,-0.02
2.19,-0.04
1.26,0.12
-1.22,0.11
-1.95,-0.09
-1.03,0.08
-1.53,0.13
-2.39,-0.07
-1.69,-0.21
-0.77,-0.12
-1.19,-0.07
-0.42,-0.08
-1.32,-0.09
1.27,-0.08
0.42,-0.02
0.67,0.09
1.64,0.07
1.46,0.10
0.03,0.06
1.19,-0.09
1.54,-0.04
2.28,-0.07
1.31,0.10
-1.25,0.12
-1.84,-0.09
-1.32,0.09
-1.31,0.12
-2.12,-0.07
-1.77,-0.20
-0.77,-0.09
-1.54,-0.08
-0.35,-0.10
-1.32,-0.11
1.30,-0.09
0.57,-0.02
0.49,0.09
1.33,0.06
1.67,0.07
0.03,0.02
1.51,-0.11
1.77,-0.04
2.25,-0.09
1.29,0.11
-1.23,0.11
-1.76,-0.11
-1.19,0.05
-1.22,0.10
-2.09,-0.11
-1.69,-0.20
-0.82,-0.12
-1.23,-0.11
-0.40,-0.08
-1.30,-0.10
1.35,-0.08
0.42,-0.03
0.81,0.04
1.48,0.04
1.64,0.09
-0.01,0.05
1.38,-0.02
2.34,0.01
2.28,-0.08
1.29,0.10
-1.22,0.13
-1.61,-0.10
-1.76,0.07
-0.70,0.09
-1.78,-0.09
-1.57,-0.16
-0.88,-0.08
-1.65,-0.11
-0.34,-0.08
-1.34,-0.10
1.31,-0.08
0.62,-0.01
0.67,0.07
1.11,0.06
1.62,0.04
0.09,0.03
1.51,-0.08
2.19,-0.01
2.21,-0.10
1.30,0.09
-1.18,0.12
-1.61,-0.12
-1.55,0.04
-0.71,0.08
-1.75,-0.09
-1.59,-0.15
-0.96,-0.08
-1.48,-0.15
-0.39,-0.07
-1.35,-0.11
1.27,-0.09
0.54,-0.01
0.73,0.04
1.16,0.05
1.64,0.06
0.02,0.04
1.40,-0.03
2.34,-0.02
2.20,-0.10
1.30,0.09
-1.20,0.12
-1.48,-0.11
-1.99,0.04
-0.46,0.08
-1.73,-0.08
-1.16,-0.14
-1.11,-0.04
-1.72,-0.13
-0.33,-0.09
-1.35,-0.13
1.24,-0.09
0.72,0.00
0.70,0.04
1.20,0.04
1.44,0.04
-0.04,0.04
1.54,-0.06
2.24,-0.06
2.26,-0.11
1.31,0.11
-1.22,0.13
-1.43,-0.11
-1.72,0.11
-1.58,0.16
-0.75,0.02
-1.09,-0.10
0.27,0.31
0.06,-0.05
0.00,0.02
-0.03,0.15
-0.07,0.13
-0.07,0.03
-0.07,-0.01
-0.07,0.03
-0.07,0.05
-0.09,0.04
-0.08,0.02
-0.07,-0.00
